ID,Team,Country,NameF,NameL,Weight,Height,DOB,Hometown,Prov,Pos,Age,HeightFt,HtIn,BMI
1,Women,Canada,Meghan,Agosta,148,5'7,1987-02-12T00:00:00Z,Ruthven,Ont.,Forward,34,5.583333333333333,67,23
2,Women,Canada,Rebecca,Johnston,148,5'9,1989-09-24T00:00:00Z,Sudbury,Ont.,Forward,32,5.75,69,22
3,Women,Canada,Laura,Stacey,156,5'10,1994-05-05T00:00:00Z,Kleinburg,Ont.,Forward,27,5.833333333333333,70,22
4,Women,Canada,Jennifer,Wakefield,172,5'10,1989-06-15T00:00:00Z,Pickering,Ont.,Forward,32,5.833333333333333,70,25
5,Women,Canada,Jillian,Saulnier,144,5'5,1992-03-07T00:00:00Z,Halifax,N.S.,Forward,29,5.416666666666667,65,24
6,Women,Canada,Mélodie,Daoust,159,5'6,1992-01-07T00:00:00Z,Valleyfield,Que.,Forward,29,5.5,66,26
7,Women,Canada,Bailey,Bram,150,5'8,1990-09-05T00:00:00Z,St. Anne,Man.,Forward,31,5.666666666666667,68,23
8,Women,Canada,Brianne,Jenner,156,5'9,1991-05-04T00:00:00Z,Oakville,Ont.,Forward,30,5.75,69,23
9,Women,Canada,Sarah,Nurse,140,5'8,1995-01-04T00:00:00Z,Hamilton,Ont.,Forward,26,5.666666666666667,68,21
10,Women,Canada,Haley,Irwin,170,5'7,1988-06-06T00:00:00Z,Thunder Bay,Ont.,Forward,33,5.583333333333333,67,27
11,Women,Canada,Natalie,Spooner,180,5'10,1990-10-17T00:00:00Z,Scarborough,Ont.,Forward,31,5.833333333333333,70,26
12,Women,Canada,Emily,Clark,130,5'7,1995-11-28T00:00:00Z,Saskatoon,Sask.,Forward,25,5.583333333333333,67,20
13,Women,Canada,Marie-Philip,Poulin,160,5'7,1991-03-28T00:00:00Z,Beauceville,Que.,Forward,30,5.583333333333333,67,25
14,Women,Canada,Blayre,Turnbull,155,5'7,1993-07-15T00:00:00Z,Stellarton,N.S.,Forward,28,5.583333333333333,67,24
15,Women,Canada,Jocelyne,Larocque,139,5'6,1988-05-19T00:00:00Z,Ste. Anne,Man.,Defence,33,5.5,66,22
16,Women,Canada,Brigette,Lacquette,180,5'6,1992-10-11T00:00:00Z,Mallard,Man.,Defence,29,5.5,66,29
17,Women,Canada,Lauriane,Rougeau,167,5'8,1990-04-12T00:00:00Z,Beaconsfield,Que.,Defence,31,5.666666666666667,68,25
18,Women,Canada,Laura,Fortino,137,5'4,1991-01-30T00:00:00Z,Hamilton,Ont.,Defence,30,5.333333333333333,64,24
19,Women,Canada,Meaghan,Mikkelson,139,5'9,1985-01-04T00:00:00Z,St. Albert,Alta.,Defence,36,5.75,69,21
20,Women,Canada,Renata,Fast,144,5'6,1994-10-06T00:00:00Z,Burlington,Ont.,Defence,27,5.5,66,23
21,Women,Canada,Shannon,Szabados,146,5'8,1986-08-06T00:00:00Z,Edmonton,Alta.,Goalie,35,5.666666666666667,68,22
22,Women,Canada,Geneviève,Lacasse,136,5'8,1989-05-05T00:00:00Z,Kingston,Ont.,Goalie,32,5.666666666666667,68,21
23,Women,Canada,Ann-Renée,Desbiens,160,5'9,1994-04-10T00:00:00Z,La Malbaie,Que.,Goalie,27,5.75,69,24
24,Men,Canada,Gilbert,Brulé,190,5'11,1987-01-01T00:00:00Z,Vancouver,B.C.,Forward,34,5.916666666666667,71,26
25,Men,Canada,Wojtek,Wolski,220,6'3,1986-02-24T00:00:00Z,Toronto,Ont.,Forward,35,6.25,75,27
26,Men,Canada,Derek,Roy,187,5'9,1983-05-04T00:00:00Z,Rockland,Ont.,Forward,38,5.75,69,28
27,Men,Canada,Chris,Kelly,194,6'0,1980-11-11T00:00:00Z,Toronto,Ont.,Forward,41,6,72,26
28,Men,Canada,Rob,Klinkhammer,214,6'3,1986-08-12T00:00:00Z,Lethbridge,Alta.,Forward,35,6.25,75,27
29,Men,Canada,Brandon,Kozun,170,5'8,1990-03-08T00:00:00Z,Calgary,Alta.,Forward,31,5.666666666666667,68,26
30,Men,Canada,Quinton,Howden,190,6'2,1992-01-21T00:00:00Z,Oakbank,Man.,Forward,29,6.166666666666667,74,24
31,Men,Canada,René,Bourque,216,6'2,1981-12-10T00:00:00Z,Lac La Biche,Alta.,Forward,39,6.166666666666667,74,28
32,Men,Canada,Andrew,Ebbett,176,5'9,1983-01-02T00:00:00Z,Vernon,B.C.,Forward,38,5.75,69,26
33,Men,Canada,Mason,Raymond,179,6'1,1985-09-17T00:00:00Z,Cochrane,Alta.,Forward,36,6.083333333333333,73,24
34,Men,Canada,Eric,O’Dell,201,6'1,1990-06-21T00:00:00Z,Ottawa,Ont.,Forward,31,6.083333333333333,73,27
35,Men,Canada,Maxim,Lapierre,216,6'0,1985-03-29T00:00:00Z,Brossard,Que.,Forward,36,6,72,29
36,Men,Canada,Linden,Vey,190,6'0,1991-07-17T00:00:00Z,Wakaw,Sask.,Forward,30,6,72,26
37,Men,Canada,Christian,Thomas,174,5'9,1992-05-26T00:00:00Z,Toronto,Ont.,Forward,29,5.75,69,26
38,Men,Canada,Karl,Stollery,181,5'11,1987-11-21T00:00:00Z,Camrose,Alta.,Defence,34,5.916666666666667,71,25
39,Men,Canada,Chris,Lee,187,6'0,1980-10-03T00:00:00Z,MacTier,Ont.,Defence,41,6,72,25
40,Men,Canada,Chay,Genoway,170,5'9,1986-12-20T00:00:00Z,Morden,Man.,Defence,34,5.75,69,25
41,Men,Canada,Marc-Andre,Gragnani,205,6'3,1987-03-11T00:00:00Z,L’Île-Bizard,Que.,Defence,34,6.25,75,26
42,Men,Canada,Stefan,Elliott,190,6'1,1991-01-30T00:00:00Z,Vancouver,B.C.,Defence,30,6.083333333333333,73,25
43,Men,Canada,Cody,Goloubef,200,6'1,1989-11-30T00:00:00Z,Oakville,Ont.,Defence,31,6.083333333333333,73,26
44,Men,Canada,Mat,Robinson,185,5'10,1986-06-20T00:00:00Z,Calgary,Alta.,Defence,35,5.833333333333333,70,27
